prompt,num_modifiers,num_phrases,item_indices,subjects
a skewered strawberry and a standing athlete,2,2,"[3, 7]","['strawberry', 'athlete']"
a white strawberry and a baby elephant,2,2,"[3, 7]","['strawberry', 'baby', 'elephant']"
a baby lion and a beige suitcase,2,2,"[3, 7]","['baby', 'lion', 'suitcase']"
a middle-aged person and a green camera,2,2,"[3, 7]","['person', 'camera']"
a pink monkey and a curved chair,2,2,"[3, 7]","['monkey', 'chair']"
a lying athlete and a young athlete,2,2,"[3, 7]","['athlete', 'athlete']"
a sliced banana and a gray penguin,2,2,"[3, 7]","['banana', 'penguin']"
a sliced banana and a sleepy gorilla,2,2,"[3, 7]","['banana', 'gorilla']"
a happy programmer and a furry mouse,2,2,"[3, 7]","['programmer', 'mouse']"
a lying programmer and a surprised person,2,2,"[3, 7]","['programmer', 'person']"
a black dog and a spotted monkey,2,2,"[3, 7]","['dog', 'monkey']"
a teal tomato and a furry cat,2,2,"[3, 7]","['tomato', 'cat']"
a wooden skateboard and a happy artist,2,2,"[3, 7]","['skateboard', 'artist']"
a blue gorilla and a purple turtle,2,2,"[3, 7]","['gorilla', 'turtle']"
a skewered strawberry and a baby lion,2,2,"[3, 7]","['strawberry', 'baby', 'lion']"
a happy man and a skewered strawberry,2,2,"[3, 7]","['man', 'strawberry']"
a baby lion and a sleepy zebra,2,2,"[3, 7]","['baby', 'lion', 'zebra']"
a spotted bird and a beige strawberry,2,2,"[3, 7]","['bird', 'strawberry']"
a middle-aged person and a checkered guitar,2,2,"[3, 7]","['person', 'guitar']"
a sliced banana and a sliced tomato,2,2,"[3, 7]","['banana', 'tomato']"
a skewered tomato and a furry zebra,2,2,"[3, 7]","['tomato', 'zebra']"
a wooden bowl and a lying person,2,2,"[3, 7]","['bowl', 'person']"
a sleepy rabbit and a red frog,2,2,"[3, 7]","['rabbit', 'frog']"
a wooden shoe and a surprised athlete,2,2,"[3, 7]","['shoe', 'athlete']"
a baby penguin and a sleepy person,2,2,"[3, 7]","['baby', 'penguin', 'person']"
a blue clock and a standing man,2,2,"[3, 7]","['clock', 'man']"
a white tomato and a checkered hat,2,2,"[3, 7]","['tomato', 'hat']"
a sleepy woman and a skewered banana,2,2,"[3, 7]","['woman', 'banana']"
a white banana and a surprised artist,2,2,"[3, 7]","['banana', 'artist']"
a spotted surfboard and a furry bird,2,2,"[3, 7]","['surfboard', 'bird']"
a curved bench and a furry bear,2,2,"[3, 7]","['bench', 'bear']"
a sitting person and a sitting woman,2,2,"[3, 7]","['person', 'woman']"
a furry penguin and a blue suitcase,2,2,"[3, 7]","['penguin', 'suitcase']"
a green banana and a pink tomato,2,2,"[3, 7]","['banana', 'tomato']"
a spiky bowl and a standing programmer,2,2,"[3, 7]","['bowl', 'programmer']"
a purple frog and a sad programmer,2,2,"[3, 7]","['frog', 'programmer']"
an old athlete and a spotted bicycle,2,2,"[3, 7]","['athlete', 'bicycle']"
a middle-aged woman and a standing programmer,2,2,"[3, 7]","['woman', 'programmer']"
an old woman and a curved surfboard,2,2,"[3, 7]","['woman', 'surfboard']"
a baby dog and a sleepy artist,2,2,"[3, 7]","['baby', 'dog', 'artist']"
a standing person and a sliced banana,2,2,"[3, 7]","['person', 'banana']"
a pink cat and a blue bird,2,2,"[3, 7]","['cat', 'bird']"
a pink cat and a sitting person,2,2,"[3, 7]","['cat', 'person']"
a purple balloon and a spotted bird,2,2,"[3, 7]","['balloon', 'bird']"
a sitting programmer and a skewered apple,2,2,"[3, 7]","['programmer', 'apple']"
a sliced apple and a surprised athlete,2,2,"[3, 7]","['apple', 'athlete']"
a teal strawberry and a sleepy penguin,2,2,"[3, 7]","['strawberry', 'penguin']"
a skewered apple and a lying artist,2,2,"[3, 7]","['apple', 'artist']"
a standing athlete and a beige surfboard,2,2,"[3, 7]","['athlete', 'surfboard']"
a brown cat and a sitting programmer,2,2,"[3, 7]","['cat', 'programmer']"
a curved balloon and a wooden clock,2,2,"[3, 7]","['balloon', 'clock']"
a sleepy woman and a skewered strawberry,2,2,"[3, 7]","['woman', 'strawberry']"
a baby turtle and a modern bench,2,2,"[3, 7]","['baby', 'turtle', 'bench']"
a lying person and a red umbrella,2,2,"[3, 7]","['person', 'umbrella']"
a sitting woman and a beige banana,2,2,"[3, 7]","['woman', 'banana']"
a furry panda and a beige penguin,2,2,"[3, 7]","['panda', 'penguin']"
a purple apple and a checkered chair,2,2,"[3, 7]","['apple', 'chair']"
a sliced banana and a red panda,2,2,"[3, 7]","['banana', 'panda']"
a sleepy man and a brown cat,2,2,"[3, 7]","['man', 'cat']"
a sliced apple and a spotted crown,2,2,"[3, 7]","['apple', 'crown']"
a pink apple and a spotted balloon,2,2,"[3, 7]","['apple', 'balloon']"
a wooden guitar and a standing programmer,2,2,"[3, 7]","['guitar', 'programmer']"
a standing athlete and a black gorilla,2,2,"[3, 7]","['athlete', 'gorilla']"
a blue bird and a skewered strawberry,2,2,"[3, 7]","['bird', 'strawberry']"
a spotted skateboard and a furry panda,2,2,"[3, 7]","['skateboard', 'panda']"
