prompt,num_modifiers,num_phrases,item_indices,subjects
a yellow spiky modern surfboard and a metal spiky bow,5,2,"[5, 10]","['surfboard', 'metal', 'bow']"
a curved wooden hat and a blue spotted horse,4,2,"[4, 9]","['hat', 'horse']"
a sleepy baby bird and a sliced strawberry,3,2,"[4, 8]","['baby', 'bird', 'strawberry']"
a surprised adolescent artist and a sliced banana,3,2,"[4, 8]","['artist', 'banana']"
a skewered tomato and a teal strawberry,2,2,"[3, 7]","['tomato', 'strawberry']"
a lying sad athlete and a sliced tomato,3,2,"[4, 8]","['athlete', 'tomato']"
a sad standing athlete and a pink bow,3,2,"[4, 8]","['athlete', 'bow']"
a black banana and a blue spiky spotted camera,4,2,"[3, 9]","['banana', 'camera']"
a purple furry mouse and a black shoe,3,2,"[4, 8]","['mouse', 'shoe']"
a checkered wooden camera and a metal car,3,2,"[4, 8]","['camera', 'car']"
a black sleepy baby cat and a blue skewered apple,5,2,"[5, 10]","['baby', 'cat', 'apple']"
a standing middle-aged man and a checkered wooden clock,4,2,"[4, 9]","['man', 'clock']"
a happy woman and an angry standing programmer,3,2,"[3, 8]","['woman', 'programmer']"
a happy old artist and a red metal guitar,4,2,"[4, 9]","['artist', 'metal', 'guitar']"
a spotted sleepy bear and a standing person,3,2,"[4, 8]","['bear', 'person']"
a modern hat and a skewered strawberry,2,2,"[3, 7]","['hat', 'strawberry']"
a baby penguin and a white spotted baby penguin,4,2,"[3, 9]","['baby', 'penguin', 'baby', 'penguin']"
a beige strawberry and an angry programmer,2,2,"[3, 7]","['strawberry', 'programmer']"
a sitting man and a metal curved bowl,3,2,"[3, 8]","['man', 'metal', 'bowl']"
a curved wooden bow and a standing athlete,3,2,"[4, 8]","['bow', 'athlete']"
a brown spiky surfboard and a young sitting person,4,2,"[4, 9]","['surfboard', 'person']"
a checkered shoe and a purple tomato,2,2,"[3, 7]","['shoe', 'tomato']"
a black wooden bow and a baby turtle,3,2,"[4, 8]","['bow', 'baby', 'turtle']"
a standing athlete and a pink strawberry,2,2,"[3, 7]","['athlete', 'strawberry']"
an angry woman and a blue furry cat,3,2,"[3, 8]","['woman', 'cat']"
a beige spiky spotted bicycle and a sitting athlete,4,2,"[5, 9]","['bicycle', 'athlete']"
a skewered banana and a red curved clock,3,2,"[3, 8]","['banana', 'clock']"
a spotted suitcase and a pink spiky spotted clock,4,2,"[3, 9]","['suitcase', 'clock']"
a beige apple and a happy man,2,2,"[3, 7]","['apple', 'man']"
a gray strawberry and a sliced tomato,2,2,"[3, 7]","['strawberry', 'tomato']"
a sitting artist and a standing man,2,2,"[3, 7]","['artist', 'man']"
a standing athlete and an adolescent athlete,2,2,"[3, 7]","['standing', 'athlete', 'athlete']"
a skewered apple and a white spotted crown,3,2,"[3, 8]","['apple', 'crown']"
an adolescent sitting athlete and a standing happy person,4,2,"[4, 9]","['athlete', 'person']"
a sliced apple and a red strawberry,2,2,"[3, 7]","['apple', 'strawberry']"
a sliced apple and a curved spotted bicycle,3,2,"[3, 8]","['apple', 'bicycle']"
a standing person and a yellow modern chair,3,2,"[3, 8]","['person', 'chair']"
a skewered banana and a young programmer,2,2,"[3, 7]","['banana', 'programmer']"
a yellow modern crown and a spotted metal car,4,2,"[4, 9]","['crown', 'metal', 'car']"
