prompt,num_modifiers,num_phrases,item_indices,subjects
a sliced strawberry,1,1,[3],['strawberry']
a metal bicycle,1,1,[3],"['metal', 'bicycle']"
a sitting happy artist,2,1,[4],['artist']
a gray sliced apple,2,1,[4],['apple']
a jumping young person,2,1,[4],['person']
a spotted sleepy penguin,2,1,[4],['penguin']
a sad sitting artist,2,1,[4],['artist']
a sleepy jumping programmer,2,1,[4],['programmer']
a jumping woman,1,1,[3],['woman']
a happy old artist,2,1,[4],['artist']
a curved spiky guitar,2,1,[4],['guitar']
a brown metal checkered shoe,3,1,[5],"['metal', 'shoe']"
a skewered strawberry,1,1,[3],['strawberry']
a checkered wooden car,2,1,[4],['car']
a curved spotted suitcase,2,1,[4],['suitcase']
a modern umbrella,1,1,[3],['umbrella']
a sitting old athlete,2,1,[4],['athlete']
a white sleepy cat,2,1,[4],['cat']
a pink spotted suitcase,2,1,[4],['suitcase']
a green tomato,1,1,[3],['tomato']
a jumping surprised man,2,1,[4],['man']
a modern metal hat,2,1,[4],"['metal', 'hat']"
a sleepy baby penguin,2,1,[4],"['baby', 'penguin']"
a teal sleepy bear,2,1,[4],['bear']
a sad person,1,1,[3],['person']
a checkered shoe,1,1,[3],['shoe']
a jumping person,1,1,[3],['person']
a white strawberry,1,1,[3],['strawberry']
a curved metal guitar,2,1,[4],"['metal', 'guitar']"
a baby spotted dog,2,1,[4],"['baby', 'dog']"
a furry gorilla,1,1,[3],['gorilla']
a red tomato,1,1,[3],['tomato']
a jumping athlete,1,1,[3],"['jumping', 'athlete']"
a middle-aged woman,1,1,[3],['woman']
a jumping artist,1,1,[3],['artist']
a sleepy spotted horse,2,1,[4],['horse']
a black zebra,1,1,[3],['zebra']
a sliced banana,1,1,[3],['banana']
a beige crown,1,1,[3],['crown']
a sleepy furry lion,2,1,[4],['lion']
a skewered banana,1,1,[3],['banana']
a beige strawberry,1,1,[3],['strawberry']
an angry man,1,1,[3],['man']
a checkered spiky umbrella,2,1,[4],['umbrella']
a modern spiky backpack,2,1,[4],['backpack']
an orange spotted metal bowl,3,1,[5],"['orange', 'metal', 'bowl']"
a black apple,1,1,[3],['apple']
a purple balloon,1,1,[3],['balloon']
a furry turtle,1,1,[3],['turtle']
a happy standing person,2,1,[4],['person']
a green skewered tomato,2,1,[4],['tomato']
a sliced apple,1,1,[3],['apple']
a white apple,1,1,[3],['apple']
a spotted bird,1,1,[3],['bird']
a brown furry sleepy rabbit,3,1,[5],['rabbit']
a furry sleepy lion,2,1,[4],['lion']
a brown penguin,1,1,[3],['penguin']
a standing artist,1,1,[3],['artist']
a baby spotted bird,2,1,[4],"['baby', 'bird']"
a baby sleepy panda,2,1,[4],"['baby', 'panda']"
a furry baby cat,2,1,[4],"['baby', 'cat']"
a white sliced strawberry,2,1,[4],['strawberry']
a checkered curved bowl,2,1,[4],['bowl']
a surprised adolescent person,2,1,[4],['person']
a curved camera,1,1,[3],['camera']
a white spotted dog,2,1,[4],['dog']
a curved umbrella,1,1,[3],['umbrella']
a running woman,1,1,[3],['woman']
a teal suitcase,1,1,[3],['suitcase']
a sitting person,1,1,[3],['person']
a pink skewered tomato,2,1,[4],['tomato']
a green skewered apple,2,1,[4],['apple']
a beige sliced apple,2,1,[4],['apple']
a furry baby lion,2,1,[4],"['baby', 'lion']"
an adolescent running man,2,1,[4],"['running', 'man']"
a spotted gorilla,1,1,[3],['gorilla']
a sleepy frog,1,1,[3],['frog']
a yellow wooden modern bowl,3,1,[5],['bowl']
a beige modern wooden clock,3,1,[5],['clock']
a black checkered spiky balloon,3,1,[5],['balloon']
a yellow apple,1,1,[3],['apple']
a sliced tomato,1,1,[3],['tomato']
a middle-aged sleepy artist,2,1,[4],['artist']
a spotted camera,1,1,[3],['camera']
a teal metal shoe,2,1,[4],"['metal', 'shoe']"
a white cat,1,1,[3],['cat']
a furry monkey,1,1,[3],['monkey']
a jumping happy person,2,1,[4],['person']
an orange spiky car,2,1,[4],['car']
a gray umbrella,1,1,[3],['umbrella']
a spotted dog,1,1,[3],['dog']
a blue sleepy horse,2,1,[4],['horse']
a wooden modern skateboard,2,1,[4],['skateboard']
a green metal modern shoe,3,1,[5],"['metal', 'shoe']"
a sleepy young athlete,2,1,[4],['athlete']
a blue spiky checkered shoe,3,1,[5],['shoe']
a gray apple,1,1,[3],['apple']
a running sleepy woman,2,1,[4],['woman']
a brown modern curved guitar,3,1,[5],['guitar']
a spotted baby rabbit,2,1,[4],"['baby', 'rabbit']"
